path,label
Data/genres_original/disco/disco.00045.wav,disco
Data/genres_original/country/country.00053.wav,country
Data/genres_original/blues/blues.00045.wav,blues
Data/genres_original/country/country.00090.wav,country
Data/genres_original/metal/metal.00007.wav,metal
Data/genres_original/reggae/reggae.00049.wav,reggae
Data/genres_original/blues/blues.00040.wav,blues
Data/genres_original/classical/classical.00072.wav,classical
Data/genres_original/metal/metal.00039.wav,metal
Data/genres_original/blues/blues.00086.wav,blues
Data/genres_original/country/country.00029.wav,country
Data/genres_original/hiphop/hiphop.00043.wav,hiphop
Data/genres_original/pop/pop.00028.wav,pop
Data/genres_original/blues/blues.00073.wav,blues
Data/genres_original/metal/metal.00073.wav,metal
Data/genres_original/jazz/jazz.00055.wav,jazz
Data/genres_original/blues/blues.00000.wav,blues
Data/genres_original/rock/rock.00049.wav,rock
Data/genres_original/reggae/reggae.00083.wav,reggae
Data/genres_original/blues/blues.00091.wav,blues
Data/genres_original/pop/pop.00027.wav,pop
Data/genres_original/reggae/reggae.00050.wav,reggae
Data/genres_original/hiphop/hiphop.00070.wav,hiphop
Data/genres_original/classical/classical.00052.wav,classical
Data/genres_original/classical/classical.00047.wav,classical
Data/genres_original/reggae/reggae.00058.wav,reggae
Data/genres_original/classical/classical.00013.wav,classical
Data/genres_original/reggae/reggae.00027.wav,reggae
Data/genres_original/metal/metal.00049.wav,metal
Data/genres_original/metal/metal.00063.wav,metal
Data/genres_original/rock/rock.00075.wav,rock
Data/genres_original/classical/classical.00021.wav,classical
Data/genres_original/jazz/jazz.00066.wav,jazz
Data/genres_original/jazz/jazz.00081.wav,jazz
Data/genres_original/jazz/jazz.00059.wav,jazz
Data/genres_original/pop/pop.00099.wav,pop
Data/genres_original/country/country.00035.wav,country
Data/genres_original/country/country.00094.wav,country
Data/genres_original/disco/disco.00078.wav,disco
Data/genres_original/pop/pop.00021.wav,pop
Data/genres_original/metal/metal.00086.wav,metal
Data/genres_original/classical/classical.00087.wav,classical
Data/genres_original/pop/pop.00060.wav,pop
Data/genres_original/disco/disco.00017.wav,disco
Data/genres_original/metal/metal.00090.wav,metal
Data/genres_original/classical/classical.00058.wav,classical
Data/genres_original/metal/metal.00003.wav,metal
Data/genres_original/jazz/jazz.00013.wav,jazz
Data/genres_original/reggae/reggae.00010.wav,reggae
Data/genres_original/jazz/jazz.00064.wav,jazz
Data/genres_original/disco/disco.00014.wav,disco
Data/genres_original/reggae/reggae.00099.wav,reggae
Data/genres_original/disco/disco.00019.wav,disco
Data/genres_original/blues/blues.00066.wav,blues
Data/genres_original/hiphop/hiphop.00065.wav,hiphop
Data/genres_original/rock/rock.00042.wav,rock
Data/genres_original/hiphop/hiphop.00039.wav,hiphop
Data/genres_original/pop/pop.00055.wav,pop
Data/genres_original/disco/disco.00009.wav,disco
Data/genres_original/metal/metal.00042.wav,metal
Data/genres_original/rock/rock.00023.wav,rock
Data/genres_original/disco/disco.00046.wav,disco
Data/genres_original/hiphop/hiphop.00079.wav,hiphop
Data/genres_original/hiphop/hiphop.00032.wav,hiphop
Data/genres_original/pop/pop.00041.wav,pop
Data/genres_original/country/country.00098.wav,country
Data/genres_original/country/country.00013.wav,country
